"sold_price",".pred"
90000,81207.2637969876
74000,82833.0849573203
169000,171971.543440692
214000,229412.767555604
260000,264151.843937933
229000,241353.034401869
311250,266344.955281005
145000,152932.755666118
400000,413015.307632203
250000,290342.677508238
193000,214977.853712324
236500,254668.62111841
185000,210630.011025314
215000,252737.549844228
147000,147503.020046973
350000,437266.949114268
180000,183727.498427023
504900,466835.226559397
327198,396051.501904556
159900,183688.780793959
275000,266412.733114531
235000,266926.029328431
192400,187933.58310352
195500,241575.790635164
102400,113841.515381939
347500,367864.337207219
400000,415513.106877746
334461,366738.034780508
279900,283885.568306503
224900,234153.640739216
355000,320651.75713486
191000,208257.107355132
110000,176229.287864814
198000,199124.073170418
195000,215897.649662261
125000,125316.536252247
279907,296752.850691186
235000,283963.929645957
265000,252951.749882867
343550,346405.239302073
152500,140434.570476698
241500,272006.218355838
204000,236650.331953527
215000,261633.113428358
235000,245838.703269244
219750,220171.040193243
193500,217646.136404037
234500,257631.037855544
220000,177627.648959756
240000,258427.615466358
154000,118535.270203622
289000,339827.175006287
192000,197525.762927047
280000,290096.126827435
400000,362794.075987188
424000,411745.222847342
375000,470495.450681574
214500,244141.724284369
198000,200732.187555607
140000,142435.845151092
212000,208040.334796043
430000,434320.249123324
200000,234903.735045951
695000,775009.35038013
224900,206000.781596686
217350,220171.040193243
229000,222992.195383964
180000,191677.880694308
197000,224706.291200922
550000,483181.835601004
217000,250470.631583925
262000,334183.970799528
215000,296476.66721648
212500,217888.615773097
160000,142222.7697322
211900,245325.581944651
191000,196569.573337984
270000,259968.502998694
223000,241122.011683641
254900,281817.518313384
149900,188420.565126906
155000,142265.883588264
345000,278532.42137504
290000,205246.61960095
232000,203597.214267853
292000,379756.355823334
300000,262000.028401879
457000,517238.909882382
279500,287591.504087886
305000,335447.858397145
211500,247997.92291696
198000,230213.993115213
235225,236588.687971429
496514,576897.430609429
360000,339516.450385608
235000,240123.006237222
280000,236176.338953333
215000,239750.091687728
241400,264172.508337065
186000,192069.171084261
260000,266356.555212109
218000,238977.112303947
148500,141556.687362752
449900,394712.351868266
185000,191974.340471408
444400,363444.081429289
287750,263930.240430564
210000,207478.096558316
339900,348813.161568477
235000,228985.550908027
155000,180760.708040093
212000,270988.323769797
255000,244659.789756761
251900,240329.910087715
365262,352481.912872892
323963,360403.064848426
255330,267106.07103376
193000,209980.069512405
399550,268118.542657006
292900,310910.978852123
242000,164834.903365432
227000,201764.081062286
141000,136340.845172466
145000,160987.190135458
317500,353530.712350673
457400,485450.046912065
289900,303371.587318233
349900,319757.094616861
189000,199294.120596607
140000,181367.177905716
200000,223069.231297346
615000,655140.430185203
210000,194399.377757461
253717,227758.735091405
360000,459079.961856772
84250,119025.001957884
172000,223714.400997707
170000,188781.946450934
161500,157760.77967148
321000,305901.052915362
172500,186676.434646658
315000,355253.477903311
258500,243527.500700536
185000,187406.353457209
210538,203685.442186927
351729,361751.327304498
213900,211581.312235085
344000,369853.690191023
390000,332125.878725967
200000,206269.670402496
197500,185710.504968924
298000,289102.825367453
235500,258542.833787566
187000,182198.526138349
145000,142306.066347081
211500,228211.987751801
215000,220400.973702367
250000,347172.463737058
365000,271283.994403909
120890,138415.00245333
187000,214523.665574345
217500,217241.864173448
367150,403053.614703797
317500,371518.345796148
549000,622097.138560735
310000,331725.632929534
177500,176290.01583403
164850,160996.884634349
185000,180505.780916041
230000,233195.128420543
223500,299349.137261506
265204,262204.19980261
181400,185353.134905813
416000,254680.976634449
211867,216769.560304867
191656,196219.740705779
189499,196350.114882973
165500,185930.123301373
169750,229769.248011534
190000,188509.71850055
193000,252583.019980603
161000,194664.092064134
313500,351398.746962978
245000,283508.128024389
177500,184366.276845756
170000,190445.966236144
360000,385440.868370662
336000,349960.38230361
269815,233267.729915458
240000,235816.454993564
260981,255661.302212271
383500,425816.850084601
160800,170627.83853634
249000,251383.877606269
425000,519380.89504151
358000,392027.776080819
235000,236374.272837615
278865,286438.196610871
209000,236924.930491528
175000,114158.990563666
469305,433785.816432817
365000,386977.862940412
120000,139052.722420708
163000,171310.92946025
187500,215785.771086802
180000,205307.695765801
332900,402751.409737449
389900,414654.228137444
254900,274585.485765479
275000,298943.869130378
108500,115938.574067465
190000,206833.681603837
259900,297615.560132602
170000,168986.624811515
188000,182775.957114986
191900,184847.234333922
135000,97274.543264068
325000,333766.796911251
142000,160886.090935062
283500,319749.326856608
290000,215631.938325913
217000,253422.300559579
145000,173637.026169102
169000,150231.49962345
155500,160781.952562742
110000,150579.724830038
149000,143609.930670906
282000,265040.073100434
271000,267196.087566969
524900,466015.55818342
261500,286924.207900761
197500,227012.615324295
351000,403629.619807551
154500,143894.260965341
375000,239552.331043576
132000,142839.336145644
245000,257574.249250661
226000,242778.722080452
182000,191253.713645137
187692,209031.788943826
140000,197901.359113553
248767,272276.467843237
179000,158570.823079154
178900,189878.495515634
368000,436439.056323133
249000,265405.46535023
195000,206973.134345066
139700,166620.840310302
190000,188591.5754868
241920,259199.434835009
240000,227196.689331059
223000,261714.768077817
184900,190556.246600367
127500,144719.645286613
378000,456975.534482786
455000,700236.714665244
175000,218214.02655968
209000,229389.637896301
273500,239957.644347634
218000,172572.75305917
229900,272119.958980232
215000,176626.228126444
170000,190024.655215468
200000,240329.910087715
694063,490916.049683563
365000,384941.064977173
204900,224757.890160571
62000,121684.777662064
198800,291177.204507017
230000,198835.413681853
430000,372378.055282322
283000,292700.761270315
332500,377537.057341895
237500,239343.404591697
244000,248046.707994081
235000,221238.543031754
178000,169143.678533615
218000,246948.5282025
215000,232890.131261838
222000,245714.236902753
255000,264334.643197296
344475,321518.624868868
200000,188881.870743065
410000,441406.862766473
191000,215166.044043518
185000,179634.760652995
480000,515666.481782599
315000,401326.249297565
133099,183571.487609303
141888,188349.553554451
300000,300666.805009465
192900,180275.985314285
250500,282325.567159746
162500,143389.269310074
180000,161287.832933744
324000,356178.146204123
174000,210339.481603625
75000,116865.070080301
285000,276847.40458696
155000,149038.072915961
168000,189324.34055162
210000,220334.307334064
325000,291829.073279117
212900,209000.907627072
206000,235892.18032328
350000,372738.050955408
199500,216268.779341028
249900,191220.545881201
300373,316141.051963559
281500,276127.771497265
255000,262967.774885138
230500,226912.938886091
309900,299049.503361971
403500,464324.839927756
160000,181367.526047633
425000,427817.384871994
88660,81207.2637969876
62000,81111.392469631
217000,249679.959547781
378688,347591.293259804
246989,246823.096483781
476000,456006.603747161
100000,156961.213022096
249900,243163.981219158
117450,133024.031053321
172500,201557.157273576
279446,281481.34679769
297000,258068.327834046
575373,620747.754586766
249000,232507.583107724
415500,367475.221257124
187500,172480.899177881
270000,284288.189230087
290000,354295.019871693
350000,429425.443338027
619000,371724.910645721
259900,290152.484596333
249900,236324.837296809
126500,132692.440292793
156000,128091.681913148
200000,221867.993974526
203500,241496.286465935
273000,277991.515586514
304000,356418.058855821
161000,174382.286415871
249000,287442.051036084
332500,333848.079051805
350000,397051.026173831
131200,116456.098248237
184900,209744.870848794
199000,199190.08447818
312265,363140.506745765
157000,177621.842187537
194900,206467.452044963
219900,204215.23543145
129900,190305.003458965
389291,377304.727783838
159400,173810.193463054
306000,253073.696746646
250000,235605.201642502
215000,233893.866180633
251060,245540.181470434
187000,183226.050826809
227500,269997.787154288
500201,390971.483797294
229000,277780.139588284
243000,265141.832891632
229500,259569.468782175
186000,199210.675905106
395000,337152.044483432
160000,193904.231326242
65000,154664.216918054
57400,160229.808712605
170000,190805.217042121
139000,144941.270347892
180500,199424.327782936
195000,213985.754989044
377500,357068.05135082
220500,324929.502033005
317000,315069.518061067
185000,227028.704711848
273000,300222.028897199
215000,238607.795459768
333000,323626.292007553
395000,367851.055383642
205900,219916.542259486
184500,199262.477744675
241000,242536.281161662
159900,184022.973561238
452000,564972.136018262
275000,292319.495562635
225000,172046.214516498
300605,328400.099640332
215664,229815.557808934
199000,273557.669418338
155000,271863.321038225
147000,180577.693104038
199900,224703.127700846
485000,460408.235853065
468352,448765.463262113
325000,334228.213892124
179000,135596.141564999
485000,474595.918604751
87000,81207.2637969876
240150,256585.837128192
149000,190014.331281382
340000,355953.228597262
190000,188841.502758603
146000,192259.410452494
165000,198730.912513664
224500,265764.160529749
175000,176495.667075037
327781,340008.071721897
251581,269557.132086495
368254,453900.509329275
210000,212024.309120896
219000,216847.797858263
784437,634763.118534823
513138,556955.902591241
225000,262152.448061126
216500,236608.926456799
505441,530985.29842974
164900,206199.048896154
216068,220058.520508614
256000,226706.359655069
286500,342817.018787223
300000,326612.993520708
495305,530094.969188547
265000,266847.889093738
145000,137312.117778711
206200,218670.419651216
282024,301344.91960564
132200,173218.171332721
215000,233964.890411122
137000,143099.256660992
362000,401831.479880554
201500,208996.157625488
329900,333545.623880464
241000,237171.392407204
215500,209610.149502617
245000,210918.961197901
241000,222591.393816175
215000,199241.572521011
265000,270794.970548758
173125,185703.005692526
130000,171235.972339272
112000,169187.976743665
174000,198014.187299146
169000,133585.38129156
216863,219794.388333996
240000,287087.084016406
267000,311086.906820224
255000,303342.855950559
853958,624695.260049285
207000,178665.908200385
174900,198270.52530358
254900,309070.192520628
355000,375952.384807749
155000,248046.590473152
259000,291735.865654385
136000,131781.754186594
192500,214761.598269048
75000,78897.5400262399
247000,232368.189844806
155025,198425.652266688
188000,223218.517840006
90000,182012.883006327
319900,363185.224357681
112000,244701.814754269
160000,183416.115038946
195000,222466.295237465
171900,164264.129622944
141753,177913.551681032
172000,234137.026890317
173000,231489.647151869
191000,215032.503554489
215000,341466.955650917
160000,174553.044989888
310000,268307.331509956
75000,220665.846817245
183000,204096.473331142
125000,152756.064900567
247000,288814.080247364
317000,260850.886244959
175000,189536.674245525
272000,282722.475161565
199000,231755.026848168
299900,334120.65426451
286000,300910.137797281
78500,79619.5586965492
99000,150563.178282827
145000,224949.75037352
179900,175132.42401281
273450,281205.780604954
170000,168116.597616327
144000,149354.06143897
93000,107060.015050965
167150,177892.784261471
210000,235346.542752318
197000,203096.341523672
415416,361812.084071671
96000,154069.600620757
259900,277216.900811235
203000,242013.814616996
259000,288288.939483227
245500,280491.454678955
222000,248873.47548178
168000,171482.698355795
228524,236234.710660527
187000,188124.189439986
127000,118150.71077461
398703,430551.69953008
90000,137437.222898935
314500,324070.921580899
175000,184872.188062762
350000,415971.266302015
686000,641931.04030951
636000,810463.146666946
294000,331117.477331634
296900,318928.384940746
508000,669751.525098742
230000,242188.573275421
269900,292816.379203585
220000,243529.663765069
305000,325368.26094886
300000,318134.115043501
237900,249482.442451169
188500,212028.442114657
617500,595289.50765836
330000,304167.339393512
376000,335309.157931846
231000,214219.889351418
165000,295132.582473915
210000,218273.495511688
127000,143487.713597688
175000,186808.085217971
209000,224119.400013144
430000,410483.705691091
62938,79619.5586965492
372825,375873.478705412
259900,320645.356420985
495000,581223.287015052
111000,126840.967079022
230000,214697.777025508
425000,476439.950696061
150000,147585.742304226
182782,196321.430074265
295299,304968.934107306
125000,116828.958225682
165000,181855.620413099
110000,143099.256660992
139500,140961.680932889
206000,201169.257676039
308000,410131.41528261
211900,201142.483204134
175000,164758.084479145
274900,304970.191173915
240000,271384.533290454
199000,182901.853619079
240000,294033.157494474
247300,266089.983213397
425000,499585.89455095
