"sold_price",".pred"
195000,212944.256349396
185000,173560.183708659
220000,233213.938190143
90000,126709.803900706
270000,281419.750660993
161400,185474.139488155
236000,254933.712951536
209500,218513.297507656
225000,205555.223932677
270000,246461.224806091
574000,383399.378087802
205000,252259.963432134
215500,318238.246151657
218000,193162.665584347
278400,334638.479111287
157500,113470.041536208
390000,410357.282488008
280000,352312.474297478
345000,339700.862680312
255000,203590.53876422
288005,270713.986507169
200000,176753.774257539
333500,368533.291199865
358000,376811.481422231
275000,331681.958044015
200000,232144.877450827
201200,233713.63856318
177500,173755.601776343
223050,239193.423641443
247438,287457.686791799
182000,292418.700362182
489000,481878.094852919
312500,318459.958819905
275000,336469.736864311
444000,470423.55716833
625000,565195.034696667
385000,258958.862364452
175000,212962.741952628
140000,192519.536875521
254000,247090.714822245
208000,190555.337334502
135900,209665.269752328
119500,87825.2307897008
166500,141680.259729237
153500,122316.876192993
195000,428454.484481937
170000,168587.401804188
305000,416076.216157291
197000,195603.702782893
329000,391044.327869545
219271,240938.173559
158000,128324.815213329
238000,250458.385412587
165000,239362.825443249
148900,104529.726383304
196000,234369.831962646
162500,133312.315819152
265500,338779.586821711
143000,122679.50253263
442500,532823.21501789
175100,156879.499563597
190000,189690.756083394
161900,99045.0524125676
165000,208093.674840204
328760,321993.015169228
272000,268691.138712382
265000,266766.307700397
190000,194531.346804565
252000,201187.012564862
244695,263907.920321094
260000,257130.434190027
124000,157546.154426679
227000,266399.131332882
192440,196601.289007552
195000,211281.61978278
90000,105956.039352986
74000,108950.981189961
169000,229928.607322223
214000,307428.103418831
260000,284891.877478076
229000,248171.610477978
311250,249686.232887856
145000,93692.0799795522
400000,436142.474799686
250000,247213.523091382
193000,196869.273464414
236500,324213.185358795
185000,189096.777594706
215000,190934.046002956
147000,93654.6180498987
350000,451040.057934096
180000,182087.852860047
504900,592145.431996389
327198,337835.640383939
159900,168787.336640297
275000,291034.57963079
235000,264676.674243985
192400,234188.894060434
195500,144482.288192482
102400,149920.824020421
347500,432212.734698415
400000,446235.474773029
334461,395520.487389518
279900,234959.12623973
224900,254677.157438641
355000,358003.15221413
191000,203548.038476809
110000,166103.324721382
198000,209720.78235241
195000,203585.614454398
125000,94701.3304056046
279907,279210.909299473
235000,270634.640265851
265000,272046.512575571
343550,393684.665158938
152500,125695.608451839
241500,386835.019029675
204000,232777.743007299
215000,202374.920499823
235000,269242.146065978
219750,238453.505426638
193500,213552.518870937
234500,233680.600596914
220000,156145.499360769
240000,271314.718656382
154000,93598.992651266
289000,379547.290512302
192000,209130.839812955
280000,302070.706061239
400000,293807.782160048
424000,462571.281541298
375000,452491.256205837
214500,295674.588156583
198000,181345.834247332
140000,186245.775987458
212000,225134.236610562
430000,481566.542530077
200000,230083.428456982
695000,590228.597716809
224900,253904.719533861
217350,238453.505426638
229000,173462.143745272
180000,162981.068396016
197000,187855.848592401
550000,627794.711399591
217000,299935.947485637
262000,308321.878414593
215000,294125.822480738
212500,212828.675100119
160000,141283.145341302
211900,305740.40925795
191000,234342.823247744
270000,292005.288546195
223000,242410.245694856
254900,244296.29768804
149900,177062.240107132
155000,149911.811099166
345000,289942.478127919
290000,325670.830232934
232000,184446.834959618
292000,332183.384706493
300000,273728.717224679
457000,500579.566877197
279500,308801.056157553
305000,342415.283712184
211500,234637.214913331
198000,251546.25853677
235225,304508.720967893
496514,469106.109300799
360000,303274.248141218
235000,263958.702639489
280000,286012.953390896
215000,255988.406877184
241400,308591.750151834
186000,204422.308664395
260000,326201.937258398
218000,293005.289035363
148500,83766.7908350179
449900,416081.140096488
185000,159101.964041751
444400,422198.256267455
287750,274613.423505814
210000,234077.731565699
339900,330396.800203952
235000,248758.85918464
155000,159979.927991746
212000,166972.978367737
255000,311371.815480308
251900,239600.267747575
365262,406775.001936826
323963,287096.031257279
255330,222897.931507028
193000,261813.950009431
399550,356362.644312463
292900,328193.049507423
